k,sigma,amp,P_switch
0.8777777777777778,-1.0625,1.0,0.48
0.8777777777777778,-1.0625,1.25,0.46
0.8777777777777778,-1.0625,1.5,0.56
0.8777777777777778,-1.0625,1.75,0.44
0.8777777777777778,-1.0625,2.0,0.56
0.8777777777777778,-0.875,0.0,0.44
0.8777777777777778,-0.875,0.25,0.14
0.8777777777777778,-0.875,0.75,0.36
0.8777777777777778,-0.875,0.5,0.2
0.8777777777777778,-0.875,1.25,0.56
0.8777777777777778,-0.875,1.0,0.44
0.8777777777777778,-0.875,1.5,0.78
0.8777777777777778,-0.875,2.0,0.84
0.8777777777777778,-0.6875,0.0,0.58
0.8777777777777778,-0.875,1.75,0.78
0.8777777777777778,-0.6875,0.25,0.02
0.8777777777777778,-0.6875,0.5,0.02
0.8777777777777778,-0.6875,0.75,0.14
0.8777777777777778,-0.6875,1.0,0.22
0.8777777777777778,-0.6875,1.25,0.6
0.8777777777777778,-0.6875,1.5,0.76
0.8777777777777778,-0.6875,1.75,0.92
0.8777777777777778,-0.6875,2.0,0.92
0.8777777777777778,-0.5,0.0,0.52
0.8777777777777778,-0.5,0.25,0.0
0.8777777777777778,-0.5,0.5,0.0
0.8777777777777778,-0.5,0.75,0.04
0.8777777777777778,-0.5,1.0,0.26
0.8777777777777778,-0.5,1.25,0.38
0.8777777777777778,-0.5,1.5,0.76
0.8777777777777778,-0.5,1.75,0.94
0.8777777777777778,-0.5,2.0,0.98
1.0333333333333334,-2.0,0.0,0.28
1.0333333333333334,-2.0,0.25,0.5
1.0333333333333334,-2.0,0.5,0.26
1.0333333333333334,-2.0,0.75,0.4
1.0333333333333334,-2.0,1.0,0.36
1.0333333333333334,-2.0,1.25,0.36
1.0333333333333334,-2.0,1.5,0.3
1.0333333333333334,-2.0,1.75,0.4
1.0333333333333334,-2.0,2.0,0.38
1.0333333333333334,-1.8125,0.0,0.36
1.0333333333333334,-1.8125,0.25,0.36
1.0333333333333334,-1.8125,0.5,0.3
1.0333333333333334,-1.8125,0.75,0.32
1.0333333333333334,-1.8125,1.0,0.42
1.0333333333333334,-1.8125,1.25,0.28
1.0333333333333334,-1.8125,1.5,0.28
1.0333333333333334,-1.8125,1.75,0.38
1.0333333333333334,-1.8125,2.0,0.3
1.0333333333333334,-1.625,0.0,0.48
1.0333333333333334,-1.625,0.25,0.4
1.0333333333333334,-1.625,0.5,0.52
1.0333333333333334,-1.625,0.75,0.32
1.0333333333333334,-1.625,1.0,0.4
1.0333333333333334,-1.625,1.25,0.3
1.0333333333333334,-1.625,1.5,0.46
1.0333333333333334,-1.625,1.75,0.38
1.0333333333333334,-1.625,2.0,0.36
1.0333333333333334,-1.4375,0.0,0.34
1.0333333333333334,-1.4375,0.25,0.42
1.0333333333333334,-1.4375,0.75,0.42
1.0333333333333334,-1.4375,0.5,0.48
1.0333333333333334,-1.4375,1.0,0.56
1.0333333333333334,-1.4375,1.25,0.4
